Info 0    [18:15:10.719] Starting TS Server
Info 167  [18:20:38.513] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 168  [18:20:38.752] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [18:20:38.753] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 1ms
Info 170  [18:20:38.753] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 171  [18:21:16.376] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [18:21:16.378] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 2ms
Info 173  [18:21:16.378] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 174  [18:21:16.587] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 175  [18:21:16.588] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 1ms
Info 176  [18:21:16.588] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 177  [18:21:16.989] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 178  [18:21:16.990] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 1ms
Info 179  [18:21:16.990] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 180  [18:21:17.296] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 181  [18:21:17.297] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 1ms
Info 182  [18:21:17.297] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 183  [18:21:19.317] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 184  [18:21:19.318] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 1ms
Info 185  [18:21:19.318] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 186  [18:21:21.78] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 187  [18:21:21.79] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 1ms
Info 188  [18:21:21.79] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 189  [18:21:21.335] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 190  [18:21:21.336] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 1ms
Info 191  [18:21:21.336] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 192  [18:21:21.634] getCompletionData: Get current token: 0
